ano,sigla_uf,id_municipio,rede,id_escola,id_orgao_regional,tipo_situacao_funcionamento,data_ano_letivo_inicio,data_ano_letivo_termino,tipo_localizacao,tipo_categoria_escola_privada,conveniada_poder_publico,tipo_convenio_poder_publico,mantenedora_escola_privada_emp,mantenedora_escola_privada_ong,mantenedora_escola_privada_sind,mantenedora_escola_privada_sist_s,mantenedora_escola_privada_s_fins,tipo_regulamentacao,local_func_predio_escolar,local_func_salas_empresa,local_func_socioeducativo,local_func_predio_compartilhado,local_func_unid_prisional,local_func_templo_igreja,local_func_casa_professor,tipo_ocupacao_galpao,local_func_outros,local_func_salas_outra_esc,agua_potavel,agua_rede_publica,agua_poco_artesiano,agua_cacimba,agua_fonte_rio,agua_inexistente,energia_rede_publica,energia_gerador,energia_outros,energia_inexistente,esgoto_rede_publica,esgoto_fossa,esgoto_inexistente,lixo_servico_coleta,lixo_queima,lixo_descarta_outra_area,tratamento_lixo_reciclagem,lixo_enterra,lixo_outros,sala_diretoria,sala_professor,laboratorio_informatica,laboratorio_ciencias,sala_atendimento_especial,quadra_esportes,quadra_esportes_coberta,quadra_esportes_descoberta,cozinha,biblioteca,sala_leitura,parque_infantil,bercario,banheiro_fora_predio,banheiro_dentro_predio,banheiro_ei,banheiro_pne,dependencias_pne,secretaria,banheiro_chuveiro,refeitorio,despensa,almoxarifado,auditorio,patio_coberto,patio_descoberto,alojamento_aluno,alojamento_professor,area_verde,lavanderia,dependencias_outras,quantidade_salas_utilizadas,quantidade_salas_existentes,equipamento_tv,quantidade_equipamento_tv,equipamento_videocassete,quantidade_equipamento_videocassete,equipamento_dvd,quantidade_equipamento_dvd,equipamento_parabolica,equipamento_copiadora,quantidade_equipamento_copiadora,equipamento_retroprojetor,equipamento_impressora,quantidade_equipamento_impressora,equipamento_som,quantidade_equipamento_som,equipamento_multimidia,quantidade_equipamento_multimidia,equipamento_fax,equipamento_foto,quantidade_computador,quantidade_comp_administrativo,quantidade_comp_aluno,internet,banda_larga,quantidade_funcionarios,alimentacao,tipo_atendimento_educacional_especial,tipo_atividade_complementar,regular,comum_creche,comum_pre,comum_fund_ai,comum_fund_af,comum_medio_medio,comum_medio_integrado,comum_medio_normal,comum_prof,especial_exclusiva,especial_exclusiva_creche,especial_exclusiva_pre,especial_exclusiva_fund_ai,especial_exclusiva_fund_af,especial_exclusiva_medio_medio,especial_exclusiva_medio_integr,especial_exclusiva_medio_normal,especial_exclusiva_prof,especial_exclusiva_eja_fund,especial_exclusiva_eja_medio,eja,comum_eja_fund,comum_eja_medio,comum_eja_prof,fundamental_ciclos,tipo_localizacao_diferenciada,material_esp_nao_utiliza,material_esp_quilombola,material_ped_indigena,educacao_indigena,id_lingua_indigena
2020,BA,2905701,privada,29396379,00026,1,2020-02-03,2020-12-04,1,1,0,,1,0,0,0,0,1,1,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,0,1,0,1,0,0,0,0,,1,1,0,0,0,1,0,1,1,1,0,1,,,,1,1,,1,1,0,0,1,1,1,1,,,1,,0,20,,0,0,,,0,0,0,0,,,0,,0,0,0,0,,,,,,1,1,,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
2020,BA,2933604,municipal,29396549,00001,1,2020-02-03,2020-11-30,1,,,,,,,,,1,1,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,1,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,1,0,0,1,,,,1,0,,0,1,1,0,1,0,1,0,,,0,,0,5,,1,5,,,1,5,0,0,,,0,,1,2,1,1,,,,,,1,1,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
2020,BA,2927408,privada,29397545,00026,1,2020-02-03,2020-11-28,1,1,0,,1,0,0,0,0,1,1,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,1,1,0,1,0,0,0,0,,1,1,1,0,0,1,1,0,1,1,1,1,,,,1,0,,1,1,1,1,1,1,1,0,,,0,,0,34,,1,3,,,1,3,1,1,,,1,,1,7,1,30,,,,,,1,1,,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,
2020,BA,2915106,privada,29398177,00022,1,2020-02-07,2020-12-05,1,2,0,,0,0,0,0,1,1,3,,0,0,0,,,,0,0,1,1,1,0,0,0,1,,,0,1,0,0,1,1,0,0,0,,1,1,0,0,0,1,0,1,1,1,0,0,,,,1,1,,1,1,0,0,1,0,0,1,,,1,,0,12,,1,4,,,1,3,1,1,,,1,,1,6,1,2,,,,,,1,1,,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
2020,BA,2931350,municipal,29398290,00007,1,2020-01-31,2020-12-14,1,,,,,,,,,1,1,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,0,1,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0,0,,,,0,0,,1,0,1,1,0,0,1,1,,,0,,0,3,,1,1,,,0,0,0,1,,,1,,1,1,0,0,,,,,,1,1,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
2020,BA,2908507,municipal,29398320,00019,1,2020-02-10,2020-12-17,2,,,,,,,,,1,1,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,0,1,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,1,1,,,,1,0,,1,1,1,1,1,0,1,1,,,1,,0,3,,1,1,,,0,0,0,0,,,1,,0,0,0,0,,,,,,1,1,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
2020,BA,2901106,municipal,29398398,00019,1,2020-02-11,2020-12-09,2,,,,,,,,,1,1,,0,0,0,,,,0,0,1,0,1,0,0,0,1,,,0,0,0,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,,,,0,0,,0,1,0,1,0,0,1,0,,,1,,0,2,,1,1,,,1,1,0,0,,,0,,1,1,0,0,,,,,,0,,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
2020,BA,2932200,municipal,29399289,00005,1,2020-02-07,2020-12-04,1,,,,,,,,,1,1,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,1,0,0,1,0,0,0,0,,0,0,1,0,1,0,0,0,1,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,,0,3,,1,1,,,1,1,0,1,,,1,,0,0,0,0,,,,,,1,1,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,
2020,BA,2933307,privada,29399513,00020,1,2020-02-10,2020-12-12,1,1,0,,1,0,0,0,0,2,2,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,1,0,0,1,0,1,0,0,,1,1,0,0,0,1,0,1,1,1,1,1,,,,1,0,,1,1,1,1,1,0,1,1,,,0,,0,8,,1,2,,,1,2,0,1,,,1,,1,1,0,0,,,,,,1,1,,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,
2020,BA,2917508,privada,29399742,00016,1,2020-01-27,2020-12-04,1,4,0,,1,0,0,0,1,2,1,,0,0,0,,,,0,0,1,1,0,0,0,0,1,,,0,1,0,0,1,0,0,1,0,,1,1,1,0,1,1,1,0,1,1,1,1,,,,1,1,,1,1,0,1,1,1,0,1,,,0,,0,15,,1,2,,,1,2,0,1,,,1,,1,2,1,2,,,,,,1,1,,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,
