TS1,TS2,TS3,TS4,TS5
0.0000000,-0.0303158,0.0126256,0.0162970,0.0294195
-0.0039158,-0.0147093,-0.0009244,0.0036660,0.0033828
0.0064979,-0.0189588,-0.0032158,0.0000157,-0.0181754
0.0053640,0.0155145,-0.0101264,0.0093555,0.0260245
-0.0177993,0.0284975,-0.0051377,0.0036496,0.0162485
-0.0214388,0.0086888,0.0055372,-0.0003566,-0.0099393
0.0080280,-0.0101420,0.0071476,0.0034754,0.0086565
-0.0066824,-0.0192456,0.0054680,-0.0062940,-0.0018355
-0.0117727,0.0282969,-0.0067829,0.0012045,0.0183859
0.0019250,-0.0088309,0.0052562,-0.0036413,-0.0032520
0.0106188,-0.0026490,0.0042187,-0.0039049,-0.0217698
0.0123607,0.0485728,-0.0067559,0.0055483,0.0277238
0.0098086,-0.0333608,0.0193003,-0.0184963,-0.0070404
-0.0025982,0.0358029,-0.0035396,0.0018453,0.0102731
-0.0039360,-0.0194606,0.0123191,0.0024025,-0.0007175
-0.0022704,-0.0108781,0.0040855,-0.0017223,0.0073300
0.0059143,0.0147800,-0.0029935,0.0072090,-0.0046420
-0.0076417,-0.0144157,0.0032799,0.0077340,-0.0044839
-0.0027624,-0.0247528,0.0022333,0.0011522,0.0186988
0.0134892,0.0392533,-0.0123224,-0.0039918,0.0003528
-0.0138080,-0.0006320,0.0043586,0.0018575,0.0000000
-0.0136743,-0.0240100,0.0058912,-0.0091020,0.0049261
0.0036358,-0.0096817,-0.0036973,-0.0053731,-0.0084597
-0.0150648,0.0074298,-0.0048330,0.0007829,0.0038862
0.0152039,0.0343552,-0.0074103,-0.0081277,-0.0380930
-0.0093266,-0.0421273,0.0125845,0.0086256,0.0042036
-0.0077584,0.0014282,-0.0056344,-0.0014786,0.0243233
0.0069438,0.0337086,-0.0056894,0.0025368,-0.0250531
0.0058126,0.0443505,0.0015381,-0.0032650,-0.0197223
0.0066847,-0.0250359,0.0192536,0.0099828,0.0142318
-0.0069239,-0.0353136,0.0089195,0.0034983,-0.0134875
0.0020501,-0.0037334,-0.0043678,0.0073014,0.0140379
-0.0126950,0.0344429,-0.0087388,-0.0016611,0.0080380
0.0056608,-0.0096893,0.0050085,-0.0032759,0.0029070
-0.0211288,-0.0478012,0.0069483,0.0074854,0.0039833
0.0133537,0.0188315,-0.0135689,-0.0037823,-0.0127298
-0.0079860,0.0086946,-0.0067667,0.0012727,0.0181362
-0.0016566,-0.0384693,0.0052271,0.0036307,-0.0075772
-0.0049115,0.0454043,-0.0152930,-0.0104554,0.0152757
0.0039219,0.0325481,0.0025707,0.0082274,0.0005349
-0.0001490,0.0226330,0.0096770,-0.0016277,0.0113436
0.0026645,-0.0317936,0.0183355,-0.0014827,-0.0081402
-0.0300616,-0.0198236,0.0053161,-0.0069928,-0.0188329
0.0061190,0.0323505,-0.0057549,-0.0018636,-0.0050826
0.0084808,0.0226459,0.0023185,0.0020279,-0.0179953
-0.0114372,-0.0488155,0.0162038,-0.0048928,0.0049903
0.0079677,-0.0218304,-0.0051247,0.0073224,-0.0075877
-0.0008215,-0.0134680,-0.0061585,0.0019878,0.0088774
-0.0056245,0.0738671,-0.0197629,0.0103425,0.0102584
0.0044332,-0.0064348,0.0137408,0.0042607,0.0045459
-0.0057886,0.0190503,0.0068597,0.0017712,0.0039833
-0.0070178,0.0198400,0.0073273,0.0014698,-0.0039833
0.0051744,-0.0317435,0.0181152,-0.0016614,0.0009067
-0.0031484,0.0090607,-0.0017358,-0.0060331,-0.0061818
0.0090435,-0.0210102,0.0079585,0.0060025,-0.0014601
-0.0225831,0.0509376,-0.0103278,-0.0025856,-0.0009137
0.0121555,-0.0356262,0.0155622,0.0009829,0.0182960
-0.0119641,-0.0103484,-0.0008424,-0.0010290,0.0121322
0.0038041,0.0021699,-0.0028171,-0.0064590,-0.0058693
-0.0055205,0.0273338,-0.0063989,0.0074419,0.0178560
0.0176076,-0.0294411,0.0093335,-0.0020283,0.0264561
-0.0046608,-0.0168350,-0.0041310,-0.0041771,-0.0085690
-0.0002508,-0.0341601,-0.0025122,0.0022988,0.0063481
-0.0186782,0.0406473,-0.0200726,0.0062372,-0.0023973
-0.0008783,0.0093943,0.0009607,0.0043018,0.0056415
-0.0145345,0.0324106,-0.0014192,-0.0019232,0.0105139
-0.0027591,-0.0261894,0.0141542,-0.0103973,-0.0117079
0.0058118,-0.0077358,0.0012637,0.0008487,0.0170915
-0.0042112,-0.0070017,-0.0004085,-0.0077657,-0.0099487
-0.0080679,0.0201397,-0.0043914,0.0012040,0.0070922
-0.0083285,0.0110754,0.0009642,0.0007760,0.0011772
0.0085618,-0.0309950,0.0094286,-0.0029443,0.0263719
0.0003220,0.0192618,-0.0058534,0.0172161,0.0123639
-0.0015203,0.0259425,-0.0004310,0.0017421,0.0302571
-0.0190775,-0.0236732,0.0084169,0.0011673,-0.0447513
0.0031735,-0.0630692,0.0082468,-0.0001373,0.0360864
-0.0025929,0.0598142,-0.0233331,-0.0024204,-0.0248311
0.0023709,0.0233467,0.0000906,-0.0048815,0.0181633
0.0138257,-0.0520487,0.0129669,0.0028153,0.0137628
-0.0067257,-0.0467201,-0.0024059,0.0032962,-0.0108997
0.0039654,0.0365881,-0.0213032,0.0006793,0.0332713
-0.0133070,0.0419332,-0.0089256,-0.0041441,0.0010749
0.0003112,-0.0432282,0.0118328,0.0061259,0.0211078
-0.0234795,-0.0477988,0.0004164,-0.0040900,-0.0013533
0.0128685,0.0053047,-0.0203953,0.0033587,0.0152310
0.0042471,-0.0387985,-0.0061753,0.0102427,0.0075294
0.0054591,0.0561435,-0.0231353,-0.0008301,-0.0063445
-0.0098203,0.0590351,-0.0048787,0.0003623,0.0308972
-0.0096937,-0.0195030,0.0196302,-0.0017296,0.0099958
0.0119937,-0.0140849,0.0100174,-0.0128807,0.0091932
-0.0026455,0.0097471,-0.0002773,-0.0113048,0.0012663
0.0055666,-0.0230001,0.0065044,0.0025215,-0.0535752
0.0084736,-0.0059896,-0.0038164,-0.0018712,0.0176449
-0.0105758,-0.0135820,-0.0023584,-0.0169845,-0.0067271
0.0076839,0.0130979,-0.0089055,-0.0067216,-0.0101763
0.0050372,0.0006605,-0.0004879,0.0041284,-0.0282641
-0.0109534,0.0209873,-0.0037373,-0.0039223,-0.0042787
