Category: All categories

Month,data science: (United States)
2004-01,13
2004-02,12
2004-03,11
2004-04,6
2004-05,4
2004-06,10
2004-07,4
2004-08,8
2004-09,11
2004-10,7
2004-11,9
2004-12,4
2005-01,10
2005-02,9
2005-03,8
2005-04,6
2005-05,7
2005-06,4
2005-07,5
2005-08,8
2005-09,4
2005-10,8
2005-11,8
2005-12,4
2006-01,8
2006-02,7
2006-03,5
2006-04,6
2006-05,7
2006-06,4
2006-07,3
2006-08,5
2006-09,6
2006-10,5
2006-11,4
2006-12,5
2007-01,6
2007-02,7
2007-03,7
2007-04,5
2007-05,6
2007-06,4
2007-07,3
2007-08,6
2007-09,5
2007-10,6
2007-11,5
2007-12,6
2008-01,7
2008-02,8
2008-03,5
2008-04,6
2008-05,6
2008-06,4
2008-07,3
2008-08,3
2008-09,8
2008-10,7
2008-11,7
2008-12,7
2009-01,6
2009-02,8
2009-03,6
2009-04,7
2009-05,6
2009-06,5
2009-07,4
2009-08,7
2009-09,9
2009-10,7
2009-11,8
2009-12,6
2010-01,8
2010-02,8
2010-03,7
2010-04,7
2010-05,6
2010-06,5
2010-07,4
2010-08,5
2010-09,8
2010-10,7
2010-11,7
2010-12,7
2011-01,9
2011-02,8
2011-03,7
2011-04,6
2011-05,7
2011-06,5
2011-07,4
2011-08,6
2011-09,10
2011-10,8
2011-11,8
2011-12,7
2012-01,9
2012-02,8
2012-03,8
2012-04,8
2012-05,7
2012-06,5
2012-07,5
2012-08,9
2012-09,14
2012-10,11
2012-11,10
2012-12,8
2013-01,11
2013-02,10
2013-03,9
2013-04,11
2013-05,11
2013-06,10
2013-07,8
2013-08,13
2013-09,18
2013-10,15
2013-11,14
2013-12,13
2014-01,17
2014-02,16
2014-03,15
2014-04,16
2014-05,16
2014-06,15
2014-07,14
2014-08,22
2014-09,29
2014-10,23
2014-11,22
2014-12,19
2015-01,25
2015-02,25
2015-03,25
2015-04,26
2015-05,24
2015-06,24
2015-07,25
2015-08,33
2015-09,40
2015-10,34
2015-11,30
2015-12,29
2016-01,33
2016-02,34
2016-03,31
2016-04,35
2016-05,33
2016-06,29
2016-07,28
2016-08,34
2016-09,43
2016-10,37
2016-11,39
2016-12,37
2017-01,46
2017-02,46
2017-03,47
2017-04,46
2017-05,46
2017-06,43
2017-07,43
2017-08,52
2017-09,52
2017-10,58
2017-11,52
2017-12,43
2018-01,55
2018-02,55
2018-03,54
2018-04,54
2018-05,58
2018-06,47
2018-07,51
2018-08,57
2018-09,64
2018-10,63
2018-11,57
2018-12,54
2019-01,63
2019-02,59
2019-03,59
2019-04,68
2019-05,58
2019-06,59
2019-07,58
2019-08,66
2019-09,76
2019-10,70
2019-11,67
2019-12,55
2020-01,68
2020-02,68
2020-03,55
2020-04,64
2020-05,61
2020-06,57
2020-07,65
2020-08,70
2020-09,85
2020-10,61
2020-11,49
2020-12,50
2021-01,53
2021-02,51
2021-03,52
2021-04,51
2021-05,53
2021-06,49
2021-07,48
2021-08,61
2021-09,66
2021-10,65
2021-11,63
2021-12,55
2022-01,79
2022-02,79
2022-03,84
2022-04,93
2022-05,80
2022-06,65
2022-07,63
2022-08,91
2022-09,100
2022-10,87
